Genotype	PodPerPlant_India_2018	PodPerPlant_India_2021	PodPerPlant_India_2018.1	PodPerPlant_India_2019	SW_India_2021	SW_India_2018	SeedPerPod_India_2017	SeedPerPod_India_2018	SeedPerPod_India_2018.1	SeedPerPod_India_2019
VI004734AG	69.25	53.5	3.85	5.2	3.875	2.85	10	13.5	8.95	7.5
VI004743AG	62.8	15.5	3.3	3	3.155	1.65	11.5	12	10.3	6.5
VI004789BG	60.25	30	12.55	5.25	3.345	NA	11.5	12.5	12.15	7
VI004810BG	72.2	24	7.05	7.9	3.825	3.95	12.25	12	10.65	6
VI004811BG	89.4	15	20.75	5	2.725	3.25	10.75	12	11.5	6.5
VI004822BG	117.5	37.5	7.05	5.2	2.295	2	10.75	13	12	7.5
VI004838AG	89.4	25.5	8.6	5.4	3.275	2.6	11.75	15	10.95	7
VI004842AG	77.05	18	10.9	1.67	3.875	2.7	11.33333333	12	10.85	7
VI004853BG	110.4	28.5	10.7	6.8	3.375	3	12	12.5	11	7.5
VI004871BG	108.9	23	15.95	7.8	3.265	3.1	10	12	7.3	9
VI004877AG	70.2	13	12.55	6.8	3.215	2.7	11.5	11	12.3	7
VI004915BG	78.2	16	8.55	2.965	3.925	4.6	12.25	14	10.5	6.5
VI004931AG	72.2	11	12.35	6.4	4.025	2.95	12	15	11.8	6
VI004933AG	125	41	12.55	7.2	4.115	2.85	11.5	11.5	11	7.5
VI004934AG	106.7	19	0.7	5.2	3.805	3.25	12.5	13.5	11.3	7
VI004937AG	49.4	35.5	8.75	5.725	3.235	3.25	11.5	14	9.3	7.5
VI004942BG	62.95	43	13.75	5.2	4.705	4	12.25	12.5	11.35	8
VI004954BG	57.9	43.5	8.25	4.3	4.025	4.65	10.33333333	13.5	9.3	7
VI004956AG	58.3	23.5	12.15	5	3.605	2.95	13	13	10.5	6.5
VI004957AG	78.8	40	14.45	3.2	3.585	4.05	12	13	11.15	7
VI004958BG	53.1	15	12.85	3.9	5.415	4.25	12.75	13.8	12.15	7.5
VI004965BG	48.4	39	18.75	1.75	3.795	3.65	12.5	13	11	7.5
VI004968AG	76.05	37	9.4	6.4	3.565	3.7	10.5	13	11.8	7
VI004969AG	78.75	18	6.05	5.775	3.745	4	10.75	13	12.65	7
VI004973B-BLM	102.7	50.5	23.45	3.2	3.185	2.95	12.25	13	12.15	7
VI005022BG	45	19	0.55	6.135	3.435	3.8	12.33333333	10	7.5	8
VI005024B-BL	81.5	13.5	NA	7.6	3.15	NA	9.333333333	8	9.7	7.5
VI005030BY	44.85	16.5	7.7	6.4	3.11	3.2	11.33333333	12	8.5	7
VI005041AG	46	19.5	16.4	4.7	6.925	6.1	11.75	13.4	13	7.5
VI005066A-GM	81.2	17.5	7.25	4.4	2.995	3.25	10.5	12.5	10.95	7
VI014178BG	NA	17	11.85	6.6	4.295	5	11	NA	9.5	7.5
