Genotype	DM_India_2017	DM_India_2018	DM_India_2021	DM_India_2018.1	DM_India_2019	DF_India_2017	DF_India_2018	DF_India_2019	DF_India_2021	DF_India_2018.1	DF_India_2019.1
VI003942AG	61.5	66.5	88.5	54	55	33.75	37	50	45	40.5	48.5
VI003944B-BR	65	68	96	59	54.5	37	37.5	46.5	41	43	43.5
VI003947B-BR	64	68	102	55.5	55	36.75	36	53.5	46	39.5	37
VI003948B-BR	59.5	65	90.5	54.5	53.5	31	33.5	43	40	40	38.5
VI003951AG	66	63.5	94	54	59.5	34.5	33	45.5	52	38	42
VI003954BG	65	62	91	59	56	37.25	37	44.5	46	40	30
VI003957AG	63.75	65.5	93	56	57	34.75	35.5	51.5	52	39	34
VI003958B-BLM	60	66	85	54.5	53.5	38.3333333333333	36.5	46	41	36	38
VI003959BG	68	68.5	93.5	63	52	38	39	40.5	41	42.5	39
VI004006A-GM	62.5	NA	91	58	60	34	59	54.5	42	39.5	40
VI004010AG	67.25	70	95	57	59	39	38	52	42	39.5	58
VI004024AG	69.6666666666667	74	102	55	53.5	37.5	46.25	52	38.5	39	35.5
VI004044BG	70	65.5	93	57	53	39.75	38	51	52.5	42	37.5
VI004045A-DGM	67.25	66.5	101	56	56.5	38.75	39	51	51.5	38	34
VI004048A-DGM	62.25	NA	91	56.5	55	33.5	56	52	41	40	38
VI004069BG	71.5	64	95	57.5	56.5	40.75	36	50.5	48	40.5	39
VI004096AG	69.5	69.5	85	59.5	57	38	42.6666666666667	50	51	41.5	45
VI004096BG	73	NA	94	66	53	44.75	56	56.5	49	48	35
VI004129A-BLM	65	72	94	58	56	40	38	55	52	36	37
VI004138BG	68.75	69.5	93	54.5	54	38.25	35.5	47.5	42	38.5	43
VI004145B-BLM	70.3333333333333	68.5	85	59	NA	40.5	38.5	46.5	52	41.5	NA
VI004184AG	61	62.5	94	56.5	59	32	36	52.5	51.5	41	59
VI004243B-BR	63.75	65	85	57	57.5	33.5	43.5	53	48	38.5	43.5
VI004244B-BR	61	62.5	89	62.5	58	33.25	37.5	51.5	41	43.5	44
VI004297AG	59.5	66.5	89	59.5	56	34.25	36	45	45.5	44	30
VI004302AG	63.5	62.5	96	54.5	52	34	33	47	42	39.5	39
