Genotype	DM_India_2017	DM_India_2018	DM_India_2021	DM_India_2018	DM_India_2019	DM_Bangladesh_2017	DM_Bangladesh_2019	DM_Bangladesh_2016	DM_Myanmar_2016	DF_India_2017	DF_India_2018	DF_India_2019	DF_India_2021	DF_India_2018	DF_India_2019	DF_Bangladesh_2017	DF_Bangladesh_2017	DF_Bangladesh_2019	DF_Bangladesh_2016	DF_Myanmar_2016
VI003329AG	70.5	73.5	85	60	60	68	65	86	80	40	52.5	59	52	36	50	37.5	43	47	45	48
VI003332AG	70.5	62	100.5	58	57	74	69	66	74	43.5	34	42.5	48	38	43	39.5	46	49	35	34
VI003337BG	72	82	89.5	56	53	69	62	86	80	44	55	54	46	44	38	35	47	40	46	48
VI003364AG	62.5	67	92	53.5	50.5	64.5	60	65	74	33	31	47	41.5	35	37	33.5	45	39.5	37	35
VI003379BG	65.5	79	85	63.5	53	NA	67	76	80	36.25	49.5	56	56	44.5	38	46.5	46	48	33	48
VI003382BG	63.5	61.5	90	60.5	60.5	71	69	82	73	36	42	56	48.5	38.5	49	46	47	50	45	37
VI003407AG	67.75	68	94	60	60.5	69	66	72	79	40	37	53	41	45.5	49	44.5	46	46.5	48	45
VI003413BG	64.5	65	97	55	58	69	68	73	74	35.75	31	47.5	51	34.5	41.5	41	45	51.5	45	39
VI003440AG	66.75	68	91	60	58	71.5	65	80	78	36.75	37.5	57	52.5	41	49	46	46	49	53	38
VI003455AG	69.75	71	103	56	60	70	58	80	76	41	38	51.5	46	40	47	52	48	42.5	41	38
VI003456AG	66	88	95	59.5	55	74	61.5	88	80	37.25	53.5	56	56	45	NA	50	NA	42.5	46	48
VI003465BG	68.5	63.5	92	58	56	74	68.5	87	80	39.75	35.5	55	52	40.5	35	48	45	49	56	48
VI003470BG	65.5	63	94.5	55.5	53	71.5	61.5	76	74	41.25	42.5	56.5	52.5	40.5	37	41	43	34	38	36
VI003480BG	65.25	65.5	93	53.5	54	69.5	NA	80	74	35	34	47	48	37.5	37	39	46	NA	36	36
VI003490AG	67.25	66.5	91	56	62	72	72.5	75	78	39.75	37.5	56	52.5	42.5	45	48	46	50.5	41	38
VI003493BG	65.5	71	93	62.5	NA	67.5	69	80	79	37.25	38	49	45.5	40	NA	48	NA	52	57	43
VI003514BG	63.25	71	93	58.5	58	73	70.5	NA	80	36.5	39	58	52.5	40.5	51	NA	NA	51	NA	48
VI003517BG	63	78	99.5	57.5	57	73.5	72	82	78	36.25	55	56.5	56.5	38.5	36	47.5	45.5	50.5	56	45
VI003534AG	65.75	83.5	95	56	NA	71.5	68.5	70	74	35.5	56.5	51	52	45	NA	49	47.5	34	45	36
VI003534BG	73.5	76	94	54	56.5	69	71	88	78	43.75	56.5	54.5	53	36	41.5	NA	44	46.5	46	45
VI003548AG	73	NA	85	54	57	71	61	NA	NA	37	60	51	48.5	45	42.5	46.5	46	51.5	NA	NA
VI003554AG	69.6666666666667	65	96.5	56	58.5	74	58	NA	78	42.5	43	57	52	42	37	46.5	48.5	39.5	NA	38
VI003560BG	69.3333333333333	NA	85	56.5	53	73.5	68	NA	78	38.5	57	53.5	48	39	37	50	46	50.5	NA	45
