Genotype	PodPerPlant_India_2018	PodPerPlant_India_2021	PodPerPlant_India_2018	PodPerPlant_India_2019	SW_India_2021	SW_India_2018	SeedPerPod_India_2017	SeedPerPod_India_2018	SeedPerPod_India_2018	SeedPerPod_India_2019	PodPerPlant_Bangladesh_2017	SeedPerPod_Bangladesh_2017	PodPerPlant_Bangladesh_2019	SW_Bangladesh_2019	SeedPerPod_Bangladesh_2019	SW_Bangladesh_2017	PodPerPlant_Bangladesh_2017	PodPerPlant_Bangladesh_2016	SW_Myanmar_2016
VI001612AG	69	26.5	7.85	NA	2.62	2.35	11.75	12	10.95	NA	19.675	9	37.4	3.45	10.8	2.2	10	4.9	3.6
VI001628AG	84.25	29	7.05	4.6	3.62	3.65	12	12	9.8	6	25	8.9	21.8	2.515	11.9	0	0	2.3	2.8
VI001651BG	91.35	53.5	15.3	7.6	3.18	2.95	11.75	12	10.15	6.5	13.7	8.6	24.4	3.13	11.8	3	17.5	7.8	7.4
VI001652BG	79.65	17.5	15.6	8.1	2.8	2.85	11.33333333	9.5	6.65	9	7.8	8.6	23.3	3.17	11.4	2.7	10	13.6	4
VI001654BG	85.5	28.5	3.85	7.85	3.09	2.75	12.66666667	12	6.5	6	8.5	8.4	27.4	3.22	11	2.9	13.5	12	4
VI001678BG	96.5	15.5	3.9	8	3.78	3.35	11.33333333	12	8.95	7	9.9	9	18.8	3.855	10.7	0	0	9.4	4
VI001692AG	92	23	14.65	7.175	3.04	2.65	11.25	14	6.8	7.5	10.5	10.3	20.9	4.775	11.4	2.85	13.5	23.6	3
VI001698BG	60.5	20.5	14.85	8.1	4.13	3.55	12	12	13	8.5	11.3	10.1	19.4	3.115	11.1	2.3	18.5	14.24	3.2
VI001728AG	NA	35	7.85	10.7	3.12	2.65	11.25	NA	11.3	7.5	10.6	8.6	25.6	3.24	11.8	3	15.5	2.3	3.2
VI001733BG	90.5	18	8.2	9.7	5.86	4.5	12.33333333	12	12.3	6.5	9.3	10.2	24.4	3.35	10.7	2.85	16	18.2	4.4
VI001743BG	85.1	27.5	10.85	2	3.63	2.65	11.33333333	12	10.15	6	10.3	8.8	15.8	3.44	11.4	2.95	19	8.9	3.2
VI001756BG	107.7	29.5	1.75	7.4	3.57	3.25	12.25	12.5	10.8	7	6.8	8.5	25.7	3.575	11.1	3	46	6.2	3.8
VI001762A-GM	40.5	11	NA	5.6	3.35	NA	11.25	9	10.7	7.5	13.4	10.6	23.5	3.755	11	2.2	15.5	2.2	3
VI001806AG	38.75	15	8.75	4.6	2.995	2.85	9.5	12.5	9.35	NA	7.75	7.5	19.6	4.365	12.4	2.95	15.5	0.85	3
VI001806BG	82.1	18.5	12.85	5	3.05	3.8	11.75	13.5	11.8	8	30	8	17.2	4.5	10.8	0	0	NA	3.8
VI001820BG	48.05	15.5	9.35	5.2	2.83	2.6	11.5	14	11	7	13.6	10.6	23	3.88	11.8	2.65	8	23.2	3.4
VI001859BG	69.25	13.5	4.25	6.2	4.41	5.3	12	12.5	10.15	7.5	4.6	8.1	36.4	4.63	11	2.15	6.5	7.2	6.2
VI001974BG	79.6	17.5	8.85	3.75	3.49	3.35	12	14	8.8	7	9.3	9	8.8	2.56	11.2	2.6	16.5	15	4
VI001993BG	101.05	23	10	9.2	4.2	3.1	12	12.5	11.3	8	5.55	8.7	26.5	3.695	11.2	2.55	20.5	4.6	4
VI002009BG	31.3	23.5	20.05	8.4	3.82	3.65	11	13	11.65	8.5	6.3	9.7	20.4	5.12	10.8	2.7	17	11.5	3.8
VI002012BG	79.85	19	7	6.8	4.07	2.95	11.25	14	10.85	8.5	8.6	9.1	22.8	4.225	10.9	2.15	13.5	9.4	3
VI002051BG	98.8	22.5	11.7	5.6	3.78	3.15	11.25	13	10.85	7.5	8	9	27.6	4.295	11.3	2.35	14.5	8.7	4
VI002063BG	61.55	2.5	5.75	2.8	3.15	5.6	13.5	19	13.65	7	7.6	9.8	22	5.135	12.5	0	0	7.6	5.8
VI002173AG	66.9	49	10.9	4	3.15	2.7	10.75	11	11	7	22.6	11	24.1	4.84	11.3	2.25	16	19	3.6
VI002173BG	20	15	5.7	5.935	4.39	2.6	10.25	13	12.15	7.5	NA	NA	20.6	3.815	11.3	2.4	10.5	2.4	3.6
VI002176AG	70	14.5	27.2	3.2	2.55	2.9	12	11	11.8	6	8.925	8.5	17.48	2.51	7.16	2.45	14	18.8	3.6
VI002176BG	88	17.5	14.75	6.8	3.59	3.4	10.75	14	9.95	6.5	7	9.1	17.8	3.71	11.3	3.15	14	15.4	3.8
VI002190BG	93.3	19	11.55	1	4.755	3.7	11.75	13	13.15	5	12.225	9.1	19.6	3.865	10.9	2.2	16	18.8	5.2
VI002195AG	57.65	22	5.85	2.9	5.29	5.5	11.25	12	10	6	7.45	8.3	16.4	3.355	10.8	2.8	7.5	21.4	6.8
VI002197BG	81.8	15	11.75	7.4	4.51	2.7	12	10.9	6.3	8	7.4	8.7	24.9	3.13	11.4	2.45	15.5	14	4.8
VI002206AG	47.6	22	8.55	2.35	5.1	5	11.5	12.5	12.15	5.5	7.3	8.6	16.7	5.46	10.8	2.75	9	15.2	5.6
VI002239AG	62.2	19	6.05	2.625	3.72	2.8	11.5	12.5	7.45	7	6.475	8.2	29.7	4.3	10.9	0	0	12.2	3.4
VI002274B-BL	83.5	NA	6.6	1	NA	3.5	8	7	7.8	7	14	6.3	19.1	5.245	10.8	0	0	NA	6
VI002284BG	44.95	11.5	0.85	4.2	3.52	2.6	10.25	15	12.15	7.5	NA	NA	20.4	4.055	11.5	0	0	1.4	3.4
VI002402BG	66.85	9.5	8.05	5.2	4.87	3.5	11.5	13.5	12.45	8.5	11.3	7.3	24.2	4.23	11.6	0	0	14.8	4.6
